Time,Susceptible,Infectious
81.8,0.533809,0.152222
81.9,0.533213,0.152552
82,0.532616,0.152882
82.1,0.532019,0.153212
82.2,0.531423,0.153543
82.3,0.530826,0.153873
82.4,0.53023,0.154204
82.5,0.529633,0.154536
82.6,0.529037,0.154867
82.7,0.528441,0.155199
82.8,0.527845,0.155531
82.9,0.527248,0.155863
83,0.526652,0.156196
83.1,0.526056,0.156529
83.2,0.52546,0.156862
83.3,0.524864,0.157195
83.4,0.524268,0.157529
83.5,0.523672,0.157862
83.6,0.523076,0.158196
83.7,0.522481,0.15853
83.8,0.521885,0.158865
83.9,0.521289,0.1592
84,0.520694,0.159535
84.1,0.520098,0.15987
84.2,0.519503,0.160205
84.3,0.518907,0.160541
84.4,0.518312,0.160876
84.5,0.517717,0.161213
84.6,0.517122,0.161549
84.7,0.516527,0.161885
84.8,0.515932,0.162222
84.9,0.515337,0.162559
85,0.514742,0.162896
85.1,0.514147,0.163233
85.2,0.513553,0.163571
85.3,0.512958,0.163909
85.4,0.512364,0.164247
85.5,0.511769,0.164585
85.6,0.511175,0.164923
85.7,0.510581,0.165262
85.8,0.509987,0.165601
85.9,0.509393,0.16594
86,0.508799,0.166279
86.1,0.508205,0.166619
86.2,0.507611,0.166958
86.3,0.507017,0.167298
86.4,0.506424,0.167638
86.5,0.505831,0.167978
86.6,0.505237,0.168319
86.7,0.504644,0.168659
86.8,0.504051,0.169
86.9,0.503458,0.169341
87,0.502865,0.169682
87.1,0.502272,0.170024
87.2,0.50168,0.170365
87.3,0.501087,0.170707
87.4,0.500495,0.171049
87.5,0.499902,0.171391
87.6,0.49931,0.171733
87.7,0.498718,0.172076
87.8,0.498126,0.172418
87.9,0.497534,0.172761
88,0.496942,0.173104
88.1,0.496351,0.173447
88.2,0.495759,0.17379
88.3,0.495168,0.174134
88.4,0.494577,0.174477
88.5,0.493986,0.174821
88.6,0.493395,0.175165
88.7,0.492804,0.175509
88.8,0.492213,0.175853
88.9,0.491623,0.176198
89,0.491032,0.176542
89.1,0.490442,0.176887
89.2,0.489852,0.177232
89.3,0.489262,0.177577
89.4,0.488672,0.177922
89.5,0.488083,0.178267
89.6,0.487493,0.178613
89.7,0.486904,0.178958
89.8,0.486315,0.179304
89.9,0.485726,0.17965
90,0.485137,0.179996
90.1,0.484548,0.180342
90.2,0.483959,0.180689
90.3,0.483371,0.181035
90.4,0.482783,0.181382
90.5,0.482195,0.181728
90.6,0.481607,0.182075
90.7,0.481019,0.182422
90.8,0.480431,0.182769
90.9,0.479844,0.183116
91,0.479257,0.183464
91.1,0.47867,0.183811
91.2,0.478083,0.184159
91.3,0.477496,0.184506
91.4,0.47691,0.184854
91.5,0.476323,0.185202
91.6,0.475737,0.18555
91.7,0.475151,0.185898
91.8,0.474565,0.186246
91.9,0.47398,0.186595
92,0.473394,0.186943
92.1,0.472809,0.187292
92.2,0.472224,0.18764
92.3,0.471639,0.187989
92.4,0.471054,0.188338
92.5,0.47047,0.188687
92.6,0.469886,0.189036
92.7,0.469301,0.189385
92.8,0.468718,0.189734
92.9,0.468134,0.190084
93,0.46755,0.190433
93.1,0.466967,0.190783
93.2,0.466384,0.191132
93.3,0.465801,0.191482
93.4,0.465219,0.191832
93.5,0.464636,0.192182
93.6,0.464054,0.192531
93.7,0.463472,0.192881
93.8,0.46289,0.193232
93.9,0.462308,0.193582
94,0.461727,0.193932
94.1,0.461146,0.194282
94.2,0.460565,0.194633
94.3,0.459984,0.194983
94.4,0.459404,0.195333
94.5,0.458824,0.195684
94.6,0.458244,0.196035
94.7,0.457664,0.196385
94.8,0.457084,0.196736
94.9,0.456505,0.197087
95,0.455926,0.197438
95.1,0.455347,0.197789
95.2,0.454768,0.198139
95.3,0.45419,0.19849
95.4,0.453612,0.198842
95.5,0.453034,0.199193
95.6,0.452456,0.199544
95.7,0.451879,0.199895
95.8,0.451302,0.200246
95.9,0.450725,0.200597
96,0.450148,0.200949
96.1,0.449572,0.2013
96.2,0.448995,0.201651
96.3,0.44842,0.202003
96.4,0.447844,0.202354
