Time,Susceptible,Infectious,Recovered
173.9300,0.1058,0.0000,0.8941
173.9400,0.1058,0.0000,0.8941
173.9500,0.1058,0.0000,0.8941
173.9600,0.1058,0.0000,0.8941
173.9700,0.1058,0.0000,0.8941
173.9800,0.1058,0.0000,0.8941
173.9900,0.1058,0.0000,0.8941
174.0000,0.1058,0.0000,0.8941
174.0100,0.1058,0.0000,0.8941
174.0200,0.1058,0.0000,0.8941
174.0300,0.1058,0.0000,0.8941
174.0400,0.1058,0.0000,0.8941
174.0500,0.1058,0.0000,0.8941
174.0600,0.1058,0.0000,0.8941
174.0700,0.1058,0.0000,0.8941
174.0800,0.1058,0.0000,0.8941
174.0900,0.1058,0.0000,0.8941
174.1000,0.1058,0.0000,0.8941
174.1100,0.1058,0.0000,0.8941
174.1200,0.1058,0.0000,0.8941
